Notes,Infant Birth Weight 12,Infant Birth Weight 12 Code,County of Residence,County of Residence Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Year,Year Code,Births,Average Birth Weight (grams)
,2500 - 2999 grams,6,"Unidentified Counties, IA",19999,Not Hispanic or Latino,2186-5,2019,2019,2812,2800.57
,2500 - 2999 grams,6,"Douglas County, KS",20045,Hispanic or Latino,2135-2,2019,2019,20,2783.7
,2500 - 2999 grams,6,"Douglas County, KS",20045,Not Hispanic or Latino,2186-5,2019,2019,185,2798.31
,2500 - 2999 grams,6,"Johnson County, KS",20091,Hispanic or Latino,2135-2,2019,2019,129,2809.55
,2500 - 2999 grams,6,"Johnson County, KS",20091,Not Hispanic or Latino,2186-5,2019,2019,975,2806.6
,2500 - 2999 grams,6,"Sedgwick County, KS",20173,Hispanic or Latino,2135-2,2019,2019,227,2804.96
,2500 - 2999 grams,6,"Sedgwick County, KS",20173,Not Hispanic or Latino,2186-5,2019,2019,1002,2799.79
,2500 - 2999 grams,6,"Shawnee County, KS",20177,Hispanic or Latino,2135-2,2019,2019,75,2788.55
,2500 - 2999 grams,6,"Shawnee County, KS",20177,Not Hispanic or Latino,2186-5,2019,2019,300,2804.26
,2500 - 2999 grams,6,"Wyandotte County, KS",20209,Hispanic or Latino,2135-2,2019,2019,186,2827.02
,2500 - 2999 grams,6,"Wyandotte County, KS",20209,Not Hispanic or Latino,2186-5,2019,2019,353,2793.5
,2500 - 2999 grams,6,"Unidentified Counties, KS",20999,Hispanic or Latino,2135-2,2019,2019,534,2790.62
,2500 - 2999 grams,6,"Unidentified Counties, KS",20999,Not Hispanic or Latino,2186-5,2019,2019,2221,2799.54
,2500 - 2999 grams,6,"Boone County, KY",21015,Hispanic or Latino,2135-2,2019,2019,32,2759.31
,2500 - 2999 grams,6,"Boone County, KY",21015,Not Hispanic or Latino,2186-5,2019,2019,241,2798.71
,2500 - 2999 grams,6,"Fayette County, KY",21067,Hispanic or Latino,2135-2,2019,2019,100,2799
,2500 - 2999 grams,6,"Fayette County, KY",21067,Not Hispanic or Latino,2186-5,2019,2019,664,2793.62
,2500 - 2999 grams,6,"Hardin County, KY",21093,Hispanic or Latino,2135-2,2019,2019,16,2827.81
,2500 - 2999 grams,6,"Hardin County, KY",21093,Not Hispanic or Latino,2186-5,2019,2019,212,2796.37
,2500 - 2999 grams,6,"Jefferson County, KY",21111,Hispanic or Latino,2135-2,2019,2019,212,2811.79
,2500 - 2999 grams,6,"Jefferson County, KY",21111,Not Hispanic or Latino,2186-5,2019,2019,1642,2791.19
,2500 - 2999 grams,6,"Jefferson County, KY",21111,Unknown or Not Stated,9,2019,2019,13,2750
,2500 - 2999 grams,6,"Kenton County, KY",21117,Hispanic or Latino,2135-2,2019,2019,33,2803.73
,2500 - 2999 grams,6,"Kenton County, KY",21117,Not Hispanic or Latino,2186-5,2019,2019,395,2784.58
,2500 - 2999 grams,6,"Warren County, KY",21227,Hispanic or Latino,2135-2,2019,2019,29,2842.48
,2500 - 2999 grams,6,"Warren County, KY",21227,Not Hispanic or Latino,2186-5,2019,2019,277,2795.03
,2500 - 2999 grams,6,"Unidentified Counties, KY",21999,Hispanic or Latino,2135-2,2019,2019,234,2808.5
,2500 - 2999 grams,6,"Unidentified Counties, KY",21999,Not Hispanic or Latino,2186-5,2019,2019,6027,2796.13
,2500 - 2999 grams,6,"Unidentified Counties, KY",21999,Unknown or Not Stated,9,2019,2019,12,2750.33
,2500 - 2999 grams,6,"Ascension Parish, LA",22005,Hispanic or Latino,2135-2,2019,2019,31,2816.13
,2500 - 2999 grams,6,"Ascension Parish, LA",22005,Not Hispanic or Latino,2186-5,2019,2019,307,2796.64
,2500 - 2999 grams,6,"Bossier Parish, LA",22015,Hispanic or Latino,2135-2,2019,2019,43,2804.51
,2500 - 2999 grams,6,"Bossier Parish, LA",22015,Not Hispanic or Latino,2186-5,2019,2019,305,2790.03
,2500 - 2999 grams,6,"Caddo Parish, LA",22017,Hispanic or Latino,2135-2,2019,2019,20,2784.55
,2500 - 2999 grams,6,"Caddo Parish, LA",22017,Not Hispanic or Latino,2186-5,2019,2019,749,2785.94
,2500 - 2999 grams,6,"Calcasieu Parish, LA",22019,Hispanic or Latino,2135-2,2019,2019,40,2794
,2500 - 2999 grams,6,"Calcasieu Parish, LA",22019,Not Hispanic or Latino,2186-5,2019,2019,613,2794.86
,2500 - 2999 grams,6,"East Baton Rouge Parish, LA",22033,Hispanic or Latino,2135-2,2019,2019,136,2805.01
,2500 - 2999 grams,6,"East Baton Rouge Parish, LA",22033,Not Hispanic or Latino,2186-5,2019,2019,1222,2790.41
,2500 - 2999 grams,6,"Jefferson Parish, LA",22051,Hispanic or Latino,2135-2,2019,2019,288,2800.43
,2500 - 2999 grams,6,"Jefferson Parish, LA",22051,Not Hispanic or Latino,2186-5,2019,2019,973,2789.98
,2500 - 2999 grams,6,"Lafayette Parish, LA",22055,Hispanic or Latino,2135-2,2019,2019,38,2810.76
,2500 - 2999 grams,6,"Lafayette Parish, LA",22055,Not Hispanic or Latino,2186-5,2019,2019,606,2788.48
,2500 - 2999 grams,6,"Livingston Parish, LA",22063,Hispanic or Latino,2135-2,2019,2019,23,2797.61
,2500 - 2999 grams,6,"Livingston Parish, LA",22063,Not Hispanic or Latino,2186-5,2019,2019,300,2789.29
,2500 - 2999 grams,6,"Orleans Parish, LA",22071,Hispanic or Latino,2135-2,2019,2019,100,2813.51
,2500 - 2999 grams,6,"Orleans Parish, LA",22071,Not Hispanic or Latino,2186-5,2019,2019,1003,2789.97
,2500 - 2999 grams,6,"Ouachita Parish, LA",22073,Hispanic or Latino,2135-2,2019,2019,11,2794
,2500 - 2999 grams,6,"Ouachita Parish, LA",22073,Not Hispanic or Latino,2186-5,2019,2019,488,2783.35
,2500 - 2999 grams,6,"Rapides Parish, LA",22079,Hispanic or Latino,2135-2,2019,2019,15,2753.8
,2500 - 2999 grams,6,"Rapides Parish, LA",22079,Not Hispanic or Latino,2186-5,2019,2019,365,2792.71
,2500 - 2999 grams,6,"St. Tammany Parish, LA",22103,Hispanic or Latino,2135-2,2019,2019,39,2831.31
,2500 - 2999 grams,6,"St. Tammany Parish, LA",22103,Not Hispanic or Latino,2186-5,2019,2019,495,2789.79
,2500 - 2999 grams,6,"Tangipahoa Parish, LA",22105,Hispanic or Latino,2135-2,2019,2019,19,2820.32
,2500 - 2999 grams,6,"Tangipahoa Parish, LA",22105,Not Hispanic or Latino,2186-5,2019,2019,382,2785.85
,2500 - 2999 grams,6,"Terrebonne Parish, LA",22109,Hispanic or Latino,2135-2,2019,2019,16,2820.75
,2500 - 2999 grams,6,"Terrebonne Parish, LA",22109,Not Hispanic or Latino,2186-5,2019,2019,278,2791.12
,2500 - 2999 grams,6,"Unidentified Counties, LA",22999,Hispanic or Latino,2135-2,2019,2019,158,2783.86
,2500 - 2999 grams,6,"Unidentified Counties, LA",22999,Not Hispanic or Latino,2186-5,2019,2019,4028,2789.92
,2500 - 2999 grams,6,"Androscoggin County, ME",23001,Not Hispanic or Latino,2186-5,2019,2019,208,2799.94
,2500 - 2999 grams,6,"Cumberland County, ME",23005,Hispanic or Latino,2135-2,2019,2019,10,2780.8
,2500 - 2999 grams,6,"Cumberland County, ME",23005,Not Hispanic or Latino,2186-5,2019,2019,413,2803.31
,2500 - 2999 grams,6,"Kennebec County, ME",23011,Not Hispanic or Latino,2186-5,2019,2019,172,2793.36
,2500 - 2999 grams,6,"Penobscot County, ME",23019,Not Hispanic or Latino,2186-5,2019,2019,199,2809.83
,2500 - 2999 grams,6,"York County, ME",23031,Hispanic or Latino,2135-2,2019,2019,10,2805.7
,2500 - 2999 grams,6,"York County, ME",23031,Not Hispanic or Latino,2186-5,2019,2019,266,2791.18
,2500 - 2999 grams,6,"Unidentified Counties, ME",23999,Hispanic or Latino,2135-2,2019,2019,11,2729.36
,2500 - 2999 grams,6,"Unidentified Counties, ME",23999,Not Hispanic or Latino,2186-5,2019,2019,552,2798.62
,2500 - 2999 grams,6,"Anne Arundel County, MD",24003,Hispanic or Latino,2135-2,2019,2019,209,2795.74
,2500 - 2999 grams,6,"Anne Arundel County, MD",24003,Not Hispanic or Latino,2186-5,2019,2019,1024,2794.26
,2500 - 2999 grams,6,"Baltimore County, MD",24005,Hispanic or Latino,2135-2,2019,2019,223,2779.98
,2500 - 2999 grams,6,"Baltimore County, MD",24005,Not Hispanic or Latino,2186-5,2019,2019,1647,2789.98
,2500 - 2999 grams,6,"Baltimore County, MD",24005,Unknown or Not Stated,9,2019,2019,10,2818.5
,2500 - 2999 grams,6,"Carroll County, MD",24013,Hispanic or Latino,2135-2,2019,2019,21,2800.24
,2500 - 2999 grams,6,"Carroll County, MD",24013,Not Hispanic or Latino,2186-5,2019,2019,216,2818.15
,2500 - 2999 grams,6,"Cecil County, MD",24015,Hispanic or Latino,2135-2,2019,2019,12,2822.33
,2500 - 2999 grams,6,"Cecil County, MD",24015,Not Hispanic or Latino,2186-5,2019,2019,167,2784.96
,2500 - 2999 grams,6,"Charles County, MD",24017,Hispanic or Latino,2135-2,2019,2019,41,2809.85
,2500 - 2999 grams,6,"Charles County, MD",24017,Not Hispanic or Latino,2186-5,2019,2019,359,2792.15
,2500 - 2999 grams,6,"Frederick County, MD",24021,Hispanic or Latino,2135-2,2019,2019,106,2782.91
,2500 - 2999 grams,6,"Frederick County, MD",24021,Not Hispanic or Latino,2186-5,2019,2019,389,2800.83
,2500 - 2999 grams,6,"Harford County, MD",24025,Hispanic or Latino,2135-2,2019,2019,34,2817
,2500 - 2999 grams,6,"Harford County, MD",24025,Not Hispanic or Latino,2186-5,2019,2019,409,2799.57
,2500 - 2999 grams,6,"Howard County, MD",24027,Hispanic or Latino,2135-2,2019,2019,79,2785.51
,2500 - 2999 grams,6,"Howard County, MD",24027,Not Hispanic or Latino,2186-5,2019,2019,579,2793.4
,2500 - 2999 grams,6,"Montgomery County, MD",24031,Hispanic or Latino,2135-2,2019,2019,641,2807.9
,2500 - 2999 grams,6,"Montgomery County, MD",24031,Not Hispanic or Latino,2186-5,2019,2019,1548,2804.56
,2500 - 2999 grams,6,"Prince George's County, MD",24033,Hispanic or Latino,2135-2,2019,2019,733,2800.12
,2500 - 2999 grams,6,"Prince George's County, MD",24033,Not Hispanic or Latino,2186-5,2019,2019,1682,2800.35
,2500 - 2999 grams,6,"St. Mary's County, MD",24037,Hispanic or Latino,2135-2,2019,2019,18,2784.61
,2500 - 2999 grams,6,"St. Mary's County, MD",24037,Not Hispanic or Latino,2186-5,2019,2019,200,2794.45
,2500 - 2999 grams,6,"Washington County, MD",24043,Hispanic or Latino,2135-2,2019,2019,31,2834.35
,2500 - 2999 grams,6,"Washington County, MD",24043,Not Hispanic or Latino,2186-5,2019,2019,259,2795.63
,2500 - 2999 grams,6,"Baltimore city, MD",24510,Hispanic or Latino,2135-2,2019,2019,195,2808.15
,2500 - 2999 grams,6,"Baltimore city, MD",24510,Not Hispanic or Latino,2186-5,2019,2019,1622,2786.92
,2500 - 2999 grams,6,"Baltimore city, MD",24510,Unknown or Not Stated,9,2019,2019,22,2837.68
,2500 - 2999 grams,6,"Unidentified Counties, MD",24999,Hispanic or Latino,2135-2,2019,2019,84,2791.56
,2500 - 2999 grams,6,"Unidentified Counties, MD",24999,Not Hispanic or Latino,2186-5,2019,2019,826,2798.14
,2500 - 2999 grams,6,"Barnstable County, MA",25001,Hispanic or Latino,2135-2,2019,2019,24,2778.17
,2500 - 2999 grams,6,"Barnstable County, MA",25001,Not Hispanic or Latino,2186-5,2019,2019,203,2805.62
,2500 - 2999 grams,6,"Berkshire County, MA",25003,Hispanic or Latino,2135-2,2019,2019,17,2814.12
,2500 - 2999 grams,6,"Berkshire County, MA",25003,Not Hispanic or Latino,2186-5,2019,2019,149,2805.05
,2500 - 2999 grams,6,"Bristol County, MA",25005,Hispanic or Latino,2135-2,2019,2019,191,2783.38
,2500 - 2999 grams,6,"Bristol County, MA",25005,Not Hispanic or Latino,2186-5,2019,2019,836,2798
,2500 - 2999 grams,6,"Essex County, MA",25009,Hispanic or Latino,2135-2,2019,2019,586,2794.55
,2500 - 2999 grams,6,"Essex County, MA",25009,Not Hispanic or Latino,2186-5,2019,2019,853,2797.61
,2500 - 2999 grams,6,"Essex County, MA",25009,Unknown or Not Stated,9,2019,2019,40,2799.43
,2500 - 2999 grams,6,"Hampden County, MA",25013,Hispanic or Latino,2135-2,2019,2019,422,2808.03
,2500 - 2999 grams,6,"Hampden County, MA",25013,Not Hispanic or Latino,2186-5,2019,2019,481,2793.44
,2500 - 2999 grams,6,"Hampshire County, MA",25015,Hispanic or Latino,2135-2,2019,2019,26,2801.85
,2500 - 2999 grams,6,"Hampshire County, MA",25015,Not Hispanic or Latino,2186-5,2019,2019,129,2790.17
,2500 - 2999 grams,6,"Middlesex County, MA",25017,Hispanic or Latino,2135-2,2019,2019,488,2799.56
,2500 - 2999 grams,6,"Middlesex County, MA",25017,Not Hispanic or Latino,2186-5,2019,2019,2362,2803.33
,2500 - 2999 grams,6,"Middlesex County, MA",25017,Unknown or Not Stated,9,2019,2019,33,2796.15
,2500 - 2999 grams,6,"Norfolk County, MA",25021,Hispanic or Latino,2135-2,2019,2019,114,2793.59
,2500 - 2999 grams,6,"Norfolk County, MA",25021,Not Hispanic or Latino,2186-5,2019,2019,1114,2796.88
,2500 - 2999 grams,6,"Norfolk County, MA",25021,Unknown or Not Stated,9,2019,2019,21,2807.29
,2500 - 2999 grams,6,"Plymouth County, MA",25023,Hispanic or Latino,2135-2,2019,2019,84,2782.92
,2500 - 2999 grams,6,"Plymouth County, MA",25023,Not Hispanic or Latino,2186-5,2019,2019,769,2803.55
,2500 - 2999 grams,6,"Plymouth County, MA",25023,Unknown or Not Stated,9,2019,2019,10,2815.1
,2500 - 2999 grams,6,"Suffolk County, MA",25025,Hispanic or Latino,2135-2,2019,2019,538,2800.99
,2500 - 2999 grams,6,"Suffolk County, MA",25025,Not Hispanic or Latino,2186-5,2019,2019,1165,2793.46
,2500 - 2999 grams,6,"Suffolk County, MA",25025,Unknown or Not Stated,9,2019,2019,33,2763.48
,2500 - 2999 grams,6,"Worcester County, MA",25027,Hispanic or Latino,2135-2,2019,2019,358,2788.32
,2500 - 2999 grams,6,"Worcester County, MA",25027,Not Hispanic or Latino,2186-5,2019,2019,1204,2803.42
,2500 - 2999 grams,6,"Unidentified Counties, MA",25999,Hispanic or Latino,2135-2,2019,2019,20,2765.2
,2500 - 2999 grams,6,"Unidentified Counties, MA",25999,Not Hispanic or Latino,2186-5,2019,2019,103,2808.84
,2500 - 2999 grams,6,"Allegan County, MI",26005,Hispanic or Latino,2135-2,2019,2019,18,2810.56
,2500 - 2999 grams,6,"Allegan County, MI",26005,Not Hispanic or Latino,2186-5,2019,2019,166,2798.66
,2500 - 2999 grams,6,"Bay County, MI",26017,Hispanic or Latino,2135-2,2019,2019,13,2776.54
,2500 - 2999 grams,6,"Bay County, MI",26017,Not Hispanic or Latino,2186-5,2019,2019,121,2794.42
,2500 - 2999 grams,6,"Berrien County, MI",26021,Hispanic or Latino,2135-2,2019,2019,28,2795.14
,2500 - 2999 grams,6,"Berrien County, MI",26021,Not Hispanic or Latino,2186-5,2019,2019,281,2793.15
,2500 - 2999 grams,6,"Calhoun County, MI",26025,Hispanic or Latino,2135-2,2019,2019,13,2817.15
,2500 - 2999 grams,6,"Calhoun County, MI",26025,Not Hispanic or Latino,2186-5,2019,2019,246,2781.8
,2500 - 2999 grams,6,"Eaton County, MI",26045,Not Hispanic or Latino,2186-5,2019,2019,182,2796.93
,2500 - 2999 grams,6,"Genesee County, MI",26049,Hispanic or Latino,2135-2,2019,2019,29,2822.62
,2500 - 2999 grams,6,"Genesee County, MI",26049,Not Hispanic or Latino,2186-5,2019,2019,982,2778.32
,2500 - 2999 grams,6,"Ingham County, MI",26065,Hispanic or Latino,2135-2,2019,2019,14,2828.93
,2500 - 2999 grams,6,"Ingham County, MI",26065,Not Hispanic or Latino,2186-5,2019,2019,596,2785.69
,2500 - 2999 grams,6,"Jackson County, MI",26075,Not Hispanic or Latino,2186-5,2019,2019,275,2791.02
,2500 - 2999 grams,6,"Kalamazoo County, MI",26077,Hispanic or Latino,2135-2,2019,2019,42,2776.95
,2500 - 2999 grams,6,"Kalamazoo County, MI",26077,Not Hispanic or Latino,2186-5,2019,2019,463,2793.22
,2500 - 2999 grams,6,"Kent County, MI",26081,Hispanic or Latino,2135-2,2019,2019,236,2800
,2500 - 2999 grams,6,"Kent County, MI",26081,Not Hispanic or Latino,2186-5,2019,2019,1167,2793.16
,2500 - 2999 grams,6,"Livingston County, MI",26093,Not Hispanic or Latino,2186-5,2019,2019,230,2805.33
,2500 - 2999 grams,6,"Macomb County, MI",26099,Hispanic or Latino,2135-2,2019,2019,62,2797.89
,2500 - 2999 grams,6,"Macomb County, MI",26099,Not Hispanic or Latino,2186-5,2019,2019,1679,2793.87
,2500 - 2999 grams,6,"Monroe County, MI",26115,Hispanic or Latino,2135-2,2019,2019,14,2806.36
,2500 - 2999 grams,6,"Monroe County, MI",26115,Not Hispanic or Latino,2186-5,2019,2019,233,2795.27
,2500 - 2999 grams,6,"Muskegon County, MI",26121,Hispanic or Latino,2135-2,2019,2019,34,2802.56
,2500 - 2999 grams,6,"Muskegon County, MI",26121,Not Hispanic or Latino,2186-5,2019,2019,372,2789.79
,2500 - 2999 grams,6,"Oakland County, MI",26125,Hispanic or Latino,2135-2,2019,2019,142,2788.88
,2500 - 2999 grams,6,"Oakland County, MI",26125,Not Hispanic or Latino,2186-5,2019,2019,2166,2799.05
,2500 - 2999 grams,6,"Ottawa County, MI",26139,Hispanic or Latino,2135-2,2019,2019,94,2811.41
,2500 - 2999 grams,6,"Ottawa County, MI",26139,Not Hispanic or Latino,2186-5,2019,2019,385,2798.83
,2500 - 2999 grams,6,"Saginaw County, MI",26145,Hispanic or Latino,2135-2,2019,2019,44,2774.52
,2500 - 2999 grams,6,"Saginaw County, MI",26145,Not Hispanic or Latino,2186-5,2019,2019,404,2784.16
,2500 - 2999 grams,6,"St. Clair County, MI",26147,Hispanic or Latino,2135-2,2019,2019,16,2790.62
,2500 - 2999 grams,6,"St. Clair County, MI",26147,Not Hispanic or Latino,2186-5,2019,2019,277,2800.31
,2500 - 2999 grams,6,"Washtenaw County, MI",26161,Hispanic or Latino,2135-2,2019,2019,35,2808.71
,2500 - 2999 grams,6,"Washtenaw County, MI",26161,Not Hispanic or Latino,2186-5,2019,2019,670,2799.4
,2500 - 2999 grams,6,"Wayne County, MI",26163,Hispanic or Latino,2135-2,2019,2019,307,2801.64
,2500 - 2999 grams,6,"Wayne County, MI",26163,Not Hispanic or Latino,2186-5,2019,2019,4712,2792.33
,2500 - 2999 grams,6,"Unidentified Counties, MI",26999,Hispanic or Latino,2135-2,2019,2019,183,2802.02
,2500 - 2999 grams,6,"Unidentified Counties, MI",26999,Not Hispanic or Latino,2186-5,2019,2019,3254,2798.55
,2500 - 2999 grams,6,"Anoka County, MN",27003,Hispanic or Latino,2135-2,2019,2019,47,2771.55
,2500 - 2999 grams,6,"Anoka County, MN",27003,Not Hispanic or Latino,2186-5,2019,2019,616,2793.91
,2500 - 2999 grams,6,"Dakota County, MN",27037,Hispanic or Latino,2135-2,2019,2019,94,2799.02
,2500 - 2999 grams,6,"Dakota County, MN",27037,Not Hispanic or Latino,2186-5,2019,2019,716,2793.59
,2500 - 2999 grams,6,"Hennepin County, MN",27053,Hispanic or Latino,2135-2,2019,2019,250,2791.17
,2500 - 2999 grams,6,"Hennepin County, MN",27053,Not Hispanic or Latino,2186-5,2019,2019,2374,2797.52
,2500 - 2999 grams,6,"Olmsted County, MN",27109,Hispanic or Latino,2135-2,2019,2019,23,2808.35
,2500 - 2999 grams,6,"Olmsted County, MN",27109,Not Hispanic or Latino,2186-5,2019,2019,324,2806.19
,2500 - 2999 grams,6,"Ramsey County, MN",27123,Hispanic or Latino,2135-2,2019,2019,106,2779.44
,2500 - 2999 grams,6,"Ramsey County, MN",27123,Not Hispanic or Latino,2186-5,2019,2019,1194,2795.05
,2500 - 2999 grams,6,"St. Louis County, MN",27137,Not Hispanic or Latino,2186-5,2019,2019,290,2795.34
,2500 - 2999 grams,6,"Scott County, MN",27139,Hispanic or Latino,2135-2,2019,2019,13,2890.77
,2500 - 2999 grams,6,"Scott County, MN",27139,Not Hispanic or Latino,2186-5,2019,2019,235,2793.78
,2500 - 2999 grams,6,"Stearns County, MN",27145,Hispanic or Latino,2135-2,2019,2019,22,2806.14
,2500 - 2999 grams,6,"Stearns County, MN",27145,Not Hispanic or Latino,2186-5,2019,2019,243,2802.48
,2500 - 2999 grams,6,"Washington County, MN",27163,Hispanic or Latino,2135-2,2019,2019,27,2753.74
,2500 - 2999 grams,6,"Washington County, MN",27163,Not Hispanic or Latino,2186-5,2019,2019,371,2810.12
,2500 - 2999 grams,6,"Wright County, MN",27171,Hispanic or Latino,2135-2,2019,2019,11,2864
,2500 - 2999 grams,6,"Wright County, MN",27171,Not Hispanic or Latino,2186-5,2019,2019,221,2803.14
,2500 - 2999 grams,6,"Unidentified Counties, MN",27999,Hispanic or Latino,2135-2,2019,2019,311,2804.25
,2500 - 2999 grams,6,"Unidentified Counties, MN",27999,Not Hispanic or Latino,2186-5,2019,2019,2799,2801.32
,2500 - 2999 grams,6,"Unidentified Counties, MN",27999,Unknown or Not Stated,9,2019,2019,17,2807.06
,2500 - 2999 grams,6,"DeSoto County, MS",28033,Hispanic or Latino,2135-2,2019,2019,28,2754.68
,2500 - 2999 grams,6,"DeSoto County, MS",28033,Not Hispanic or Latino,2186-5,2019,2019,402,2785.75
,2500 - 2999 grams,6,"Harrison County, MS",28047,Hispanic or Latino,2135-2,2019,2019,35,2787.54
,2500 - 2999 grams,6,"Harrison County, MS",28047,Not Hispanic or Latino,2186-5,2019,2019,542,2789.57
,2500 - 2999 grams,6,"Hinds County, MS",28049,Hispanic or Latino,2135-2,2019,2019,20,2801
,2500 - 2999 grams,6,"Hinds County, MS",28049,Not Hispanic or Latino,2186-5,2019,2019,821,2788.95
,2500 - 2999 grams,6,"Jackson County, MS",28059,Hispanic or Latino,2135-2,2019,2019,19,2800.16
,2500 - 2999 grams,6,"Jackson County, MS",28059,Not Hispanic or Latino,2186-5,2019,2019,302,2782.93
,2500 - 2999 grams,6,"Rankin County, MS",28121,Hispanic or Latino,2135-2,2019,2019,14,2794.43
,2500 - 2999 grams,6,"Rankin County, MS",28121,Not Hispanic or Latino,2186-5,2019,2019,311,2796.22
,2500 - 2999 grams,6,"Unidentified Counties, MS",28999,Hispanic or Latino,2135-2,2019,2019,168,2800.47
,2500 - 2999 grams,6,"Unidentified Counties, MS",28999,Not Hispanic or Latino,2186-5,2019,2019,5659,2788.72
,2500 - 2999 grams,6,"Boone County, MO",29019,Hispanic or Latino,2135-2,2019,2019,18,2781.72
,2500 - 2999 grams,6,"Boone County, MO",29019,Not Hispanic or Latino,2186-5,2019,2019,345,2783.64
,2500 - 2999 grams,6,"Clay County, MO",29047,Hispanic or Latino,2135-2,2019,2019,36,2821.61
,2500 - 2999 grams,6,"Clay County, MO",29047,Not Hispanic or Latino,2186-5,2019,2019,505,2801.63
,2500 - 2999 grams,6,"Franklin County, MO",29071,Not Hispanic or Latino,2186-5,2019,2019,193,2798.3
,2500 - 2999 grams,6,"Greene County, MO",29077,Hispanic or Latino,2135-2,2019,2019,23,2759.65
,2500 - 2999 grams,6,"Greene County, MO",29077,Not Hispanic or Latino,2186-5,2019,2019,510,2790.81
,2500 - 2999 grams,6,"Jackson County, MO",29095,Hispanic or Latino,2135-2,2019,2019,247,2787.31
,2500 - 2999 grams,6,"Jackson County, MO",29095,Not Hispanic or Latino,2186-5,2019,2019,1516,2792.24
,2500 - 2999 grams,6,"Jasper County, MO",29097,Hispanic or Latino,2135-2,2019,2019,55,2822.09
,2500 - 2999 grams,6,"Jasper County, MO",29097,Not Hispanic or Latino,2186-5,2019,2019,233,2802.9
,2500 - 2999 grams,6,"Jefferson County, MO",29099,Not Hispanic or Latino,2186-5,2019,2019,442,2800.58
,2500 - 2999 grams,6,"St. Charles County, MO",29183,Hispanic or Latino,2135-2,2019,2019,35,2786.31
,2500 - 2999 grams,6,"St. Charles County, MO",29183,Not Hispanic or Latino,2186-5,2019,2019,670,2808.65
,2500 - 2999 grams,6,"St. Louis County, MO",29189,Hispanic or Latino,2135-2,2019,2019,92,2807.35
,2500 - 2999 grams,6,"St. Louis County, MO",29189,Not Hispanic or Latino,2186-5,2019,2019,2227,2796.39
,2500 - 2999 grams,6,"St. Louis County, MO",29189,Unknown or Not Stated,9,2019,2019,19,2806.74
,2500 - 2999 grams,6,"St. Louis city, MO",29510,Hispanic or Latino,2135-2,2019,2019,45,2802.91
,2500 - 2999 grams,6,"St. Louis city, MO",29510,Not Hispanic or Latino,2186-5,2019,2019,865,2787.37
,2500 - 2999 grams,6,"St. Louis city, MO",29510,Unknown or Not Stated,9,2019,2019,11,2826.36
,2500 - 2999 grams,6,"Unidentified Counties, MO",29999,Hispanic or Latino,2135-2,2019,2019,268,2802.71
,2500 - 2999 grams,6,"Unidentified Counties, MO",29999,Not Hispanic or Latino,2186-5,2019,2019,4889,2793.36
,2500 - 2999 grams,6,"Unidentified Counties, MO",29999,Unknown or Not Stated,9,2019,2019,22,2781.95
,2500 - 2999 grams,6,"Missoula County, MT",30063,Hispanic or Latino,2135-2,2019,2019,12,2824.67
,2500 - 2999 grams,6,"Missoula County, MT",30063,Not Hispanic or Latino,2186-5,2019,2019,159,2795.36
,2500 - 2999 grams,6,"Yellowstone County, MT",30111,Hispanic or Latino,2135-2,2019,2019,30,2810.4
,2500 - 2999 grams,6,"Yellowstone County, MT",30111,Not Hispanic or Latino,2186-5,2019,2019,301,2803.22
,2500 - 2999 grams,6,"Unidentified Counties, MT",30999,Hispanic or Latino,2135-2,2019,2019,90,2789.22
,2500 - 2999 grams,6,"Unidentified Counties, MT",30999,Not Hispanic or Latino,2186-5,2019,2019,1477,2798.14
,2500 - 2999 grams,6,"Douglas County, NE",31055,Hispanic or Latino,2135-2,2019,2019,295,2794.41
,2500 - 2999 grams,6,"Douglas County, NE",31055,Not Hispanic or Latino,2186-5,2019,2019,1164,2789.55
,2500 - 2999 grams,6,"Lancaster County, NE",31109,Hispanic or Latino,2135-2,2019,2019,66,2795.47
,2500 - 2999 grams,6,"Lancaster County, NE",31109,Not Hispanic or Latino,2186-5,2019,2019,530,2799.75
,2500 - 2999 grams,6,"Sarpy County, NE",31153,Hispanic or Latino,2135-2,2019,2019,55,2776.98
,2500 - 2999 grams,6,"Sarpy County, NE",31153,Not Hispanic or Latino,2186-5,2019,2019,357,2786.69
,2500 - 2999 grams,6,"Unidentified Counties, NE",31999,Hispanic or Latino,2135-2,2019,2019,402,2812.24
,2500 - 2999 grams,6,"Unidentified Counties, NE",31999,Not Hispanic or Latino,2186-5,2019,2019,1325,2800.7
,2500 - 2999 grams,6,"Clark County, NV",32003,Hispanic or Latino,2135-2,2019,2019,2115,2795.64
,2500 - 2999 grams,6,"Clark County, NV",32003,Not Hispanic or Latino,2186-5,2019,2019,3430,2791.59
,2500 - 2999 grams,6,"Clark County, NV",32003,Unknown or Not Stated,9,2019,2019,31,2790.74
,2500 - 2999 grams,6,"Washoe County, NV",32031,Hispanic or Latino,2135-2,2019,2019,390,2803.75
,2500 - 2999 grams,6,"Washoe County, NV",32031,Not Hispanic or Latino,2186-5,2019,2019,680,2791.67
,2500 - 2999 grams,6,"Unidentified Counties, NV",32999,Hispanic or Latino,2135-2,2019,2019,200,2784.83
,2500 - 2999 grams,6,"Unidentified Counties, NV",32999,Not Hispanic or Latino,2186-5,2019,2019,532,2788.56
